provincia_nombre,provincia_id,institucion_nombre,variable_nombre,variable_periodo,variable_tipo_proceso,variable_duracion_dias,variable_cantidad
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,18,24
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,19,21
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,20,22
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,21,28
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,22,20
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,23,29
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,24,19
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,25,28
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,26,21
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,27,16
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,28,17
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,29,23
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,30,21
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,31,23
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,32,25
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,33,19
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,34,18
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,35,20
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,36,34
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,37,19
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,38,29
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,39,30
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,40,25
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,41,16
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,42,25
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,43,32
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,44,29
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,45,18
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,46,26
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,47,11
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,48,23
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,49,26
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,50,44
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,51,22
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,52,23
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,53,13
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,54,29
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,55,25
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,56,10
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,57,34
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,58,30
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,59,17
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,60,19
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,61,21
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,62,14
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,63,25
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,64,29
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,65,24
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,66,17
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,67,14
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,68,20
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,69,8
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,70,21
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,71,21
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,72,17
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,73,19
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,74,17
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,75,18
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,76,14
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,77,16
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,78,23
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,79,13
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,80,21
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,81,15
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,82,23
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,83,12
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,84,16
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,85,18
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,86,20
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,87,12
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,88,18
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,89,16
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,90,12
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,91,21
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,92,30
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,93,15
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,94,18
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,95,21
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,96,19
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,97,10
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,98,11
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,99,17
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,100,12
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,101,15
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,102,22
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,103,14
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,104,10
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,105,18
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,106,23
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,107,17
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,108,12
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,109,10
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,110,16
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,111,10
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,112,13
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,113,14
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,114,18
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,115,14
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,116,12
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,117,16
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,118,10
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,119,12
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,120,18
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,121,11
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,122,16
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,123,16
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,124,5
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,125,12
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,126,9
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,127,24
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,128,11
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,129,11
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,130,9
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,131,15
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,132,7
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,133,11
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,134,17
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,135,10
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,136,10
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,137,23
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,138,7
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,139,7
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,140,9
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,141,13
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,142,17
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,143,12
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,144,16
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,145,12
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,146,9
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,147,18
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,148,20
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,149,12
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,150,11
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,151,7
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,152,9
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,153,5
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,154,17
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,155,13
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,156,9
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,157,11
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,158,12
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,159,11
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,160,9
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,161,18
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,162,18
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,163,16
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,164,9
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,165,13
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,166,10
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,167,6
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,168,7
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,169,7
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,170,11
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,171,17
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,172,3
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,173,14
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,174,5
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,175,7
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,176,20
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,177,6
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,178,10
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,179,13
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,180,7
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,181,12
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,182,9
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,183,15
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,184,7
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,185,9
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,186,8
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,187,14
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,188,7
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,189,3
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,190,8
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,191,8
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,192,5
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,193,9
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,194,3
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,195,12
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,196,6
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,197,9
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,198,10
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,199,5
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,200,5
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,201,3
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,202,5
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,203,12
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,204,11
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,205,6
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,206,6
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,207,8
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,208,7
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,209,3
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,210,7
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,211,7
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,212,4
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,213,4
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,214,8
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,215,3
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,216,6
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,217,4
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,218,10
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,219,7
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,220,1
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,221,5
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,222,3
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,223,7
